doors,FOB,CIF,mileage,cc,make,currency,model,registered,steering,url,fuel,transmission
3,7930.0,0,103000,1800,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6033301-japan-used-toyota-celica-sports-cars-1999.html,Petrol,MT
2,4870.0,0,162530,1990,Toyota,USD,Celica,1995-11-01T00:00:00,RHD,https://www.japanesecartrade.com/6361662-japan-used-toyota-celica-sports-cars-1995.html,Petrol,Manual
2,12890.0,0,150000,,Toyota,USD,Celica,2011-07-01T00:00:00,--,https://www.japanesecartrade.com/6061950-japan-used-toyota-celica-sports-cars-2011.html,Petrol,Manual(MT)
3,21760.0,0,103000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6158257-japan-used-toyota-celica-sports-cars-1998.html,Petrol,MT
3,11450.0,0,30000,1800,Toyota,USD,Celica,2002-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346847-japan-used-toyota-celica-sports-cars-2002.html,Gasolin,Automatic
3,9070.0,0,153000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6101134-japan-used-toyota-celica-sports-cars-1998.html,Petrol,MT
2,14110.0,0,72200,1990,Toyota,USD,Celica,1996-07-01T00:00:00,RHD,https://www.japanesecartrade.com/6217154-japan-used-toyota-celica-sports-cars-1996.html,Petrol,Manual
3,7370.0,0,147000,1990,Toyota,USD,Celica,1997-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6344121-japan-used-toyota-celica-sports-cars-1997.html,Gasolin,Automatic
2,7650.0,0,172600,2000,Toyota,USD,Celica,1998-09-01T00:00:00,RHD,https://www.japanesecartrade.com/5969739-japan-used-toyota-celica-sports-cars-1998.html,Gasoline/petrol,Manual
3,5350.0,0,82000,1800,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5989337-japan-used-toyota-celica-sports-cars-1999.html,Petrol,Automanual
,5770.0,0,96000,1790,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5394515-japan-used-toyota-celica-sports-cars-1999.html,Petrol,FAT
3,4400.0,0,22000,1800,Toyota,USD,Celica,2001-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346888-japan-used-toyota-celica-sports-cars-2001.html,Gasolin,Automatic
3,10480.0,0,146000,2000,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6122084-japan-used-toyota-celica-sports-cars-1999.html,Petrol,MT
3,5900.0,0,96000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6047342-japan-used-toyota-celica-sports-cars-1998.html,Petrol,Automanual
3,10760.0,0,106000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5807416-japan-used-toyota-celica-sports-cars-1998.html,Petrol,MT
3,18360.0,0,115337,2000,Toyota,USD,Celica 4WD,1995-02-01T00:00:00,RHD,https://www.japanesecartrade.com/6287530-japan-used-toyota-celica-sports-cars-1995.html,Petrol,MT
3,3280.0,0,123445,1800,Toyota,USD,Celica,2003-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6283526-japan-used-t-celica-2003.html,Petrol,Automatic
3,15990.0,0,1,1980,Toyota,USD,Celica,1978-10-01T00:00:00,RHD,https://www.japanesecartrade.com/5638991-japan-used-toyota-celica-sports-cars-1978.html,Petrol,Manual
3,4000.0,0,126000,1800,Toyota,USD,Celica,2005-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346846-japan-used-toyota-celica-sports-cars-2005.html,Gasolin,Automatic
2,7610.0,0,42000,1800,Toyota,USD,Celica,2006-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6367297-japan-used-toyota-celica-sports-cars-2006.html,Gasolin,Automatic
2,4520.0,0,130000,2000,Toyota,USD,Celica,1996-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5360293-japan-used-toyota-celica-sports-cars-1996.html,Petrol,FAT
3,8540.0,0,93000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5960368-japan-used-toyota-celica-sports-cars-1998.html,Petrol,MT
3,19750.0,0,110255,1990,Toyota,USD,Celica,1994-04-01T00:00:00,RHD,https://www.japanesecartrade.com/5689845-japan-used-toyota-celica-sports-cars-1994.html,Petrol,Manual
3,6810.0,0,58000,1800,Toyota,USD,Celica,2003-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346886-japan-used-toyota-celica-sports-cars-2003.html,Gasolin,Automatic
3,17660.0,0,110000,2000,Toyota,USD,Celica,1994-04-01T00:00:00,RHD,https://www.japanesecartrade.com/6048263-japan-used-toyota-celica-sports-cars-1994.html,Petrol,MT5
3,11170.0,0,196279,2000,Toyota,USD,Celica 4WD,1997-10-01T00:00:00,RHD,https://www.japanesecartrade.com/6232030-japan-used-toyota-celica-sports-cars-1997.html,Petrol,MT
3,8170.0,0,14000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346849-japan-used-toyota-celica-sports-cars-1998.html,Gasolin,Automatic
2,13420.0,0,98247,1990,Toyota,USD,Celica,1987-12-01T00:00:00,RHD,https://www.japanesecartrade.com/6005229-japan-used-toyota-celica-sports-cars-1987.html,Petrol,Automatic
3,3310.0,0,108800,1800,Toyota,USD,Celica,2005-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6283435-japan-used-t-celica-2005.html,Petrol,Automatic
3,2840.0,0,162115,2000,Toyota,USD,Celica,1995-03-01T00:00:00,RHD,https://www.japanesecartrade.com/6084814-japan-used-toyota-celica-sports-cars-1995.html,Petrol,AT
3,4080.0,0,156000,1800,Toyota,USD,Celica,2000-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346889-japan-used-toyota-celica-sports-cars-2000.html,Gasolin,Automatic
3,4660.0,0,30490,1800,Toyota,USD,Celica,2003-02-01T00:00:00,RHD,https://www.japanesecartrade.com/6376027-japan-used-toyota-celica-sports-cars-2003.html,Petrol,AT
2,3220.0,0,169000,1800,Toyota,USD,Celica,2000-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6367040-japan-used-toyota-celica-sports-cars-2000.html,Gasolin,Automatic
5,7230.0,0,112700,1790,Toyota,USD,Celica,2003-11-01T00:00:00,RHD,https://www.japanesecartrade.com/6177174-japan-used-toyota-celica-sports-cars-2003.html,Petrol,Automatic
3,5440.0,0,74000,1800,Toyota,USD,Celica,2000-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346891-japan-used-toyota-celica-sports-cars-2000.html,Gasolin,Automatic
3,2660.0,0,125998,1800,Toyota,USD,Celica,2001-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6283680-japan-used-t-celica-2001.html,Petrol,Automatic
2,17240.0,0,1,1990,Toyota,USD,Celica,1998-06-01T00:00:00,RHD,https://www.japanesecartrade.com/6028906-japan-used-toyota-celica-sports-cars-1998.html,Petrol,Manual
3,5350.0,0,161000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6194930-japan-used-toyota-celica-sports-cars-1998.html,Petrol,Automatic
,,0,78500,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6199263-japan-used-toyota-celica-sports-cars-1998.html,Petrol,Manual
3,3010.0,0,214618,2000,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6283619-japan-used-t-celica-1999.html,Petrol,Manual
3,9850.0,0,106000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346851-japan-used-toyota-celica-sports-cars-1998.html,Gasolin,Automatic
3,6560.0,0,83822,1790,Toyota,USD,Celica,2003-05-01T00:00:00,RHD,https://www.japanesecartrade.com/6106187-japan-used-toyota-celica-sports-cars-2003.html,Petrol,Automatic
3,7290.0,0,78000,1800,Toyota,USD,Celica,2000-06-01T00:00:00,RHD,https://www.japanesecartrade.com/6271040-japan-used-toyota-celica-sports-cars-2000.html,Petrol,Manual
,4090.0,0,77000,2000,Toyota,USD,Celica,1997-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5166840-japan-used-toyota-celica-sports-cars-1997.html,Petrol,FAT
3,2660.0,0,119000,1800,Toyota,USD,Celica,2000-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346844-japan-used-toyota-celica-sports-cars-2000.html,Gasolin,Automatic
2,17380.0,0,98800,1990,Toyota,USD,Celica,1992-09-01T00:00:00,RHD,https://www.japanesecartrade.com/5639312-japan-used-toyota-celica-sports-cars-1992.html,Petrol,Manual
3,12030.0,0,107000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6156993-japan-used-toyota-celica-sports-cars-1998.html,Petrol,MT
3,5010.0,0,125637,1790,Toyota,USD,Celica,1999-11-01T00:00:00,RHD,https://www.japanesecartrade.com/6197962-japan-used-toyota-celica-sports-cars-1999.html,Petrol,Manual
,15230.0,0,168000,2000,Toyota,USD,Celica,1999-01-01T00:00:00,--,https://www.japanesecartrade.com/6346937-japan-used-toyota-celica-sports-cars-1999.html,,F5
2,6800.0,0,146000,1800,Toyota,USD,Celica,2004-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6367161-japan-used-toyota-celica-sports-cars-2004.html,Gasolin,Automatic
,,0,168000,2000,Toyota,USD,Celica,1999-05-01T00:00:00,RHD,https://www.japanesecartrade.com/5957366-japan-used-toyota-celica-sports-cars-1999.html,Petrol,F5
2,7860.0,0,86000,2000,Toyota,USD,Celica,1997-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6283620-japan-used-toyota-celica-sports-cars-1997.html,Petrol,Automatic
3,6880.0,0,,1800,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5761030-japan-used-toyota-celica-sports-cars-1999.html,Petrol,MT
3,9730.0,0,73000,1800,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6263788-japan-used-toyota-celica-sports-cars-1999.html,Petrol,MT
4,20890.0,0,193000,2000,Toyota,USD,Celica,1994-03-01T00:00:00,RHD,https://www.japanesecartrade.com/5938814-japan-used-toyota-celica-sports-cars-1994.html,Petrol,Manual
3,9530.0,0,146000,2000,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346885-japan-used-toyota-celica-sports-cars-1999.html,Gasolin,Automatic
5,10430.0,0,85300,4600,Ford,USD,Explorer,2008-01-01T00:00:00,LHD,https://www.japanesecartrade.com/4625824-japan-used-ford-explorer-jeep-2008.html,Petrol,Automatic
5,2430.0,0,99000,4000,Ford,USD,Explorer,2004-01-01T00:00:00,RHD,https://www.japanesecartrade.com/4668142-japan-used-ford-explorer-suv-2004.html,Petrol,Automatic
5,34680.0,0,2600,2300,Ford,USD,Explorer,2020-01-01T00:00:00,RHD,https://www.japanesecartrade.com/4890343-japan-used-ford-explorer-suv-2020.html,Petrol,Automatic
5,6950.0,0,66000,4600,Ford,USD,Explorer,2007-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5997605-japan-used-ford-explorer-suv-2007.html,Petrol,Automanual
5,32190.0,0,29000,2300,Ford,USD,Explorer,2016-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6352265-japan-used-ford-explorer-suv-2016.html,Petrol,Automatic
5,11330.0,0,47000,4000,Ford,USD,Explorer,2009-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5759352-japan-used-ford-explorer-suv-2009.html,Petrol,Automanual
5,7290.0,0,81000,4600,Ford,USD,Explorer,2006-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6170865-japan-used-ford-explorer-suv-2006.html,Petrol,Automatic
5,8340.0,0,107000,2000,Ford,USD,Explorer,2012-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5029659-japan-used-ford-explorer-suv-2012.html,Petrol,Automatic
3,3730.0,0,125200,1800,Toyota,USD,Celica,2005-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6283741-japan-used-t-celica-2005.html,Petrol,Automatic
5,21070.0,0,85000,2300,Ford,USD,Explorer,2016-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6283127-japan-used-ford-explorer-suv-2016.html,Petrol,Automatic
5,15040.0,0,70000,2000,Ford,USD,Explorer,2013-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6174602-japan-used-ford-explorer-suv-2013.html,Petrol,Automanual
5,28020.0,0,42000,2300,Ford,USD,Explorer,2016-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5763463-japan-used-ford-explorer-suv-2016.html,Petrol,Automanual
5,20160.0,0,88000,3500,Ford,USD,Explorer,2016-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6047618-japan-used-ford-explorer-suv-2016.html,Petrol,Automanual
5,6400.0,0,108000,4000,Ford,USD,Explorer,2008-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6150298-japan-used-ford-explorer-suv-2008.html,Petrol,Automanual
5,32190.0,0,24000,2300,Ford,USD,Explorer,2016-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6369037-japan-used-ford-explorer-suv-2016.html,Petrol,Automatic
5,9940.0,0,60000,4600,Ford,USD,Explorer,2007-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5773925-japan-used-ford-explorer-suv-2007.html,Petrol,Automanual
5,14250.0,0,71000,3500,Ford,USD,Explorer,2011-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6075762-japan-used-ford-explorer-suv-2011.html,Petrol,Automanual
5,8300.0,0,65000,4000,Ford,USD,Explorer,2010-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6288285-japan-used-ford-explorer-suv-2010.html,Petrol,Automatic
5,22460.0,0,85000,2300,Ford,USD,Explorer,2016-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6189145-japan-used-ford-explorer-suv-2016.html,Petrol,Automanual
5,8550.0,0,133000,4000,Ford,USD,Explorer,2010-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5774229-japan-used-ford-explorer-suv-2010.html,Petrol,Automanual
5,7910.0,0,71000,4600,Ford,USD,Explorer,2009-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6128727-japan-used-ford-explorer-suv-2009.html,Petrol,Automanual
5,20860.0,0,111000,3500,Ford,USD,Explorer,2015-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6101369-japan-used-ford-explorer-suv-2015.html,Petrol,Automanual
5,13210.0,0,77000,3500,Ford,USD,Explorer,2011-01-01T00:00:00,LHD,https://www.japanesecartrade.com/5778315-japan-used-ford-explorer-suv-2011.html,Petrol,Automanual
5,35020.0,0,57957,3500,Ford,USD,Explorer,2018-12-01T00:00:00,LHD,https://www.japanesecartrade.com/6332672-japan-used-ford-explorer-suv-2018.html,Petrol,AT
5,14950.0,0,76000,3500,Ford,USD,Explorer,2012-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6027418-japan-used-ford-explorer-suv-2012.html,Petrol,Automanual
3,8680.0,0,98000,1800,Toyota,USD,Celica,1999-01-01T00:00:00,RHD,https://www.japanesecartrade.com/5652489-japan-used-toyota-celica-sports-cars-1999.html,Petrol,MT
5,35040.0,0,41000,2300,Ford,USD,Explorer,2019-01-01T00:00:00,LHD,https://www.japanesecartrade.com/6164147-japan-used-ford-explorer-suv-2019.html,Petrol,Automanual
